timestamp,timestampType,partition,offset,key,value,headers,exceededFields
1771970100499,CREATE_TIME,0,178608,49,"{""truck_id"":49,""timestamp"":""2026-02-24T21:55:00.411929+00:00"",""recommended_action"":""continue"",""mean_cost"":16891.34,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""32.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":16891.34,""mean_cost_components"":{""operating_travel"":317.87,""delay_service"":2352.54,""spoilage"":14220.93}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":18,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970100497,CREATE_TIME,2,178831,29,"{""truck_id"":29,""timestamp"":""2026-02-24T21:55:00.410031+00:00"",""recommended_action"":""continue"",""mean_cost"":17102.85,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""32.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17102.85,""mean_cost_components"":{""operating_travel"":317.67,""delay_service"":2496.98,""spoilage"":14288.2}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":18,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970100495,CREATE_TIME,3,183098,18,"{""truck_id"":18,""timestamp"":""2026-02-24T21:55:00.408952+00:00"",""recommended_action"":""continue"",""mean_cost"":16951.29,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""32.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":16951.29,""mean_cost_components"":{""operating_travel"":311.62,""delay_service"":2434.75,""spoilage"":14204.93}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":18,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970100492,CREATE_TIME,4,175279,4,"{""truck_id"":4,""timestamp"":""2026-02-24T21:55:00.407473+00:00"",""recommended_action"":""continue"",""mean_cost"":16991.81,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""32.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":16991.81,""mean_cost_components"":{""operating_travel"":320.24,""delay_service"":2506.51,""spoilage"":14165.06}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":18,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970074385,CREATE_TIME,3,183097,47,"{""truck_id"":47,""timestamp"":""2026-02-24T21:54:34.310927+00:00"",""recommended_action"":""continue"",""mean_cost"":17037.24,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""32.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17037.24,""mean_cost_components"":{""operating_travel"":315.49,""delay_service"":2485.39,""spoilage"":14236.36}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":18,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065707,CREATE_TIME,5,166651,8,"{""truck_id"":8,""timestamp"":""2026-02-24T21:54:25.600470+00:00"",""recommended_action"":""continue"",""mean_cost"":17082.85,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17082.85,""mean_cost_components"":{""operating_travel"":349.2,""delay_service"":2488.48,""spoilage"":14245.17}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065707,CREATE_TIME,5,166652,44,"{""truck_id"":44,""timestamp"":""2026-02-24T21:54:25.604064+00:00"",""recommended_action"":""continue"",""mean_cost"":17054.68,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17054.68,""mean_cost_components"":{""operating_travel"":354.24,""delay_service"":2344.38,""spoilage"":14356.06}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065706,CREATE_TIME,1,195402,30,"{""truck_id"":30,""timestamp"":""2026-02-24T21:54:25.602683+00:00"",""recommended_action"":""continue"",""mean_cost"":12493.34,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12493.34,""mean_cost_components"":{""operating_travel"":358.55,""delay_service"":2495.51,""spoilage"":9639.28}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065706,CREATE_TIME,1,195403,32,"{""truck_id"":32,""timestamp"":""2026-02-24T21:54:25.602882+00:00"",""recommended_action"":""continue"",""mean_cost"":17032.6,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17032.6,""mean_cost_components"":{""operating_travel"":354.42,""delay_service"":2390.15,""spoilage"":14288.02}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065705,CREATE_TIME,1,195400,2,"{""truck_id"":2,""timestamp"":""2026-02-24T21:54:25.599788+00:00"",""recommended_action"":""continue"",""mean_cost"":16997.86,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":16997.86,""mean_cost_components"":{""operating_travel"":356.07,""delay_service"":2421.67,""spoilage"":14220.12}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065705,CREATE_TIME,1,195401,3,"{""truck_id"":3,""timestamp"":""2026-02-24T21:54:25.599919+00:00"",""recommended_action"":""continue"",""mean_cost"":12148.61,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12148.61,""mean_cost_components"":{""operating_travel"":349.09,""delay_service"":2395.65,""spoilage"":9403.87}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065704,CREATE_TIME,0,178607,48,"{""truck_id"":48,""timestamp"":""2026-02-24T21:54:25.604454+00:00"",""recommended_action"":""continue"",""mean_cost"":12426.62,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12426.62,""mean_cost_components"":{""operating_travel"":353.58,""delay_service"":2494.51,""spoilage"":9578.53}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065704,CREATE_TIME,4,175278,5,"{""truck_id"":5,""timestamp"":""2026-02-24T21:54:25.600146+00:00"",""recommended_action"":""continue"",""mean_cost"":12350.23,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12350.23,""mean_cost_components"":{""operating_travel"":353.15,""delay_service"":2482.41,""spoilage"":9514.67}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065703,CREATE_TIME,0,178606,20,"{""truck_id"":20,""timestamp"":""2026-02-24T21:54:25.601706+00:00"",""recommended_action"":""continue"",""mean_cost"":17168.05,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17168.05,""mean_cost_components"":{""operating_travel"":345.41,""delay_service"":2469.2,""spoilage"":14353.44}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065703,CREATE_TIME,3,183096,38,"{""truck_id"":38,""timestamp"":""2026-02-24T21:54:25.603468+00:00"",""recommended_action"":""continue"",""mean_cost"":""17180.0"",""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":""17180.0"",""mean_cost_components"":{""operating_travel"":353.41,""delay_service"":2393.63,""spoilage"":14432.97}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065702,CREATE_TIME,3,183095,25,"{""truck_id"":25,""timestamp"":""2026-02-24T21:54:25.602197+00:00"",""recommended_action"":""continue"",""mean_cost"":17031.03,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17031.03,""mean_cost_components"":{""operating_travel"":354.86,""delay_service"":2404.16,""spoilage"":14272.01}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065700,CREATE_TIME,3,183094,12,"{""truck_id"":12,""timestamp"":""2026-02-24T21:54:25.600893+00:00"",""recommended_action"":""continue"",""mean_cost"":12247.62,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12247.62,""mean_cost_components"":{""operating_travel"":355.13,""delay_service"":2366.32,""spoilage"":9526.16}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065698,CREATE_TIME,3,183093,11,"{""truck_id"":11,""timestamp"":""2026-02-24T21:54:25.600793+00:00"",""recommended_action"":""continue"",""mean_cost"":17068.94,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":17068.94,""mean_cost_components"":{""operating_travel"":349.85,""delay_service"":2393.85,""spoilage"":14325.25}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065696,CREATE_TIME,3,183092,10,"{""truck_id"":10,""timestamp"":""2026-02-24T21:54:25.600689+00:00"",""recommended_action"":""continue"",""mean_cost"":12131.19,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12131.19,""mean_cost_components"":{""operating_travel"":347.29,""delay_service"":2441.48,""spoilage"":9342.42}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065695,CREATE_TIME,3,183091,9,"{""truck_id"":9,""timestamp"":""2026-02-24T21:54:25.600572+00:00"",""recommended_action"":""continue"",""mean_cost"":12479.43,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12479.43,""mean_cost_components"":{""operating_travel"":357.8,""delay_service"":2482.12,""spoilage"":9639.51}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065693,CREATE_TIME,2,178830,42,"{""truck_id"":42,""timestamp"":""2026-02-24T21:54:25.603868+00:00"",""recommended_action"":""continue"",""mean_cost"":12228.3,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":12228.3,""mean_cost_components"":{""operating_travel"":350.47,""delay_service"":2367.61,""spoilage"":9510.22}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
1771970065691,CREATE_TIME,2,178829,41,"{""truck_id"":41,""timestamp"":""2026-02-24T21:54:25.603766+00:00"",""recommended_action"":""continue"",""mean_cost"":16748.46,""all_actions"":[{""action"":""continue"",""next_node"":19,""edge_travel_time_min"":""48.0"",""extra_time_min"":""0.0"",""fixed_cost"":""0.0"",""mean_cost"":16748.46,""mean_cost_components"":{""operating_travel"":345.47,""delay_service"":2281.1,""spoilage"":14121.88}}],""reason"":""MC_min_cost_over_outgoing_edges"",""route"":{""current_node"":17,""planned_next"":19,""chosen_next"":19,""valid_outgoing_next_nodes"":[19]},""mc_samples"":300}",[],
